CostCenter, Parent, Alias: Default, Alias: KOREAN ALIAS, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, Formula Description, UDA, Smart List, Data Type, Hierarchy Type, Enable for Dynamic Children, Number of Possible Dynamic Children, Access Granted to Member Creator, Allow Upper Level Entity Input, Process Management Enabled, UUID, Data Id, Old Name, Old Unique Name, Plan Type (FinPlan), Aggregation (FinPlan), Data Storage (FinPlan), Formula (FinPlan), Solve Order (FinPlan), Formula Description (FinPlan), Plan Type (FinRPT), Aggregation (FinRPT), Data Storage (FinRPT), Formula (FinRPT), Solve Order (FinRPT), Formula Description (FinRPT), Operation
205123AGF,SG&A,S&A 5123-A & G - F & B - Home Office,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,e06bb4ad-b8d5-4035-9ee0-3d8274a9f265,3059511860544590,205123AGF,[SG&A].[205123AGF],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
205124AGF,SG&A,S&A 5124-A & G: HR - F & B - On Property,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,408b0abb-38d8-4199-98dd-418fd97630b9,55223653584249,205124AGF,[SG&A].[205124AGF],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
205125AGF,SG&A,S&A 5125-A & G: HR - F & B - Off Property,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,5669a2fb-5e6c-403a-aa30-1517895fbf45,4277765587943945,205125AGF,[SG&A].[205125AGF],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
205126AGF,SG&A,S&A 5126-A & G: HR - F & B - Home Office,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,2f949a20-34fa-439e-bfdf-a7030510dfb3,947123775819306,205126AGF,[SG&A].[205126AGF],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
205211ITH,SG&A,S&A 5211-IT - Hotel - On Property,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,4013953c-388a-4065-bcd7-fcc01734f4fd,2402108987165717,205211ITH,[SG&A].[205211ITH],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
205212ITH,SG&A,S&A 5212-IT - Hotel - Off Property,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,d603096f-a41c-467e-b3fd-25420433aa19,783826404069349,205212ITH,[SG&A].[205212ITH],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
205213ITH,SG&A,S&A 5213-IT - Hotel - Home Office,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,e5b567a1-fb5a-4894-a619-b25524ae4e7e,2121303766155311,205213ITH,[SG&A].[205213ITH],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
205221ITF,SG&A,S&A 5221-IT - F & B - On Property,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,5eae21c4-2c2b-4e3a-8ac1-c584de675c25,3296855841916517,205221ITF,[SG&A].[205221ITF],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
205222ITF,SG&A,S&A 5222-IT - F & B - Off Property,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,1a22e773-677a-4ab6-903f-3b70ebe691ea,2583143449773999,205222ITF,[SG&A].[205222ITF],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
205223ITF,SG&A,S&A 5223-IT - F & B - Home Office,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,47f8d7ad-4a43-4ef0-adfe-56fb99e68add,3592208313696499,205223ITF,[SG&A].[205223ITF],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
