CostCenter, Parent, Alias: Default, Alias: KOREAN ALIAS, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, Formula Description, UDA, Smart List, Data Type, Hierarchy Type, Enable for Dynamic Children, Number of Possible Dynamic Children, Access Granted to Member Creator, Allow Upper Level Entity Input, Process Management Enabled, UUID, Data Id, Old Name, Old Unique Name, Plan Type (FinPlan), Aggregation (FinPlan), Data Storage (FinPlan), Formula (FinPlan), Solve Order (FinPlan), Formula Description (FinPlan), Plan Type (FinRPT), Aggregation (FinRPT), Data Storage (FinRPT), Formula (FinRPT), Solve Order (FinRPT), Formula Description (FinRPT), Operation
CC5310,Hotel CCs,5310-S & M - Hotel,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,6b9208f5-8cb4-4dd1-b455-d9ef59225573,102545666033341,CC5310,[Hotel CCs].[CC5310],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
CC5410,Hotel CCs,5410-PO & M - Hotel,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,f13d97ed-02bd-43f6-97fb-b77d534c749b,1696958049373308,CC5410,[Hotel CCs].[CC5410],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
CC5510,Hotel CCs,5510-Utilities - Hotel,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,7f327818-de58-400f-9042-ff39f78fd98a,1900440432299086,CC5510,[Hotel CCs].[CC5510],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
CC5610,Hotel CCs,5610-Management Fees - Hotel,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,06a599a4-46dd-4c00-8ee9-5637b64fcf06,2214636001906660,CC5610,[Hotel CCs].[CC5610],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
CC6000,Hotel CCs,6000-Summary - Non-Operating,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,67920b17-2e25-46a5-92c4-6872fef870ba,1002675459345733,CC6000,[Hotel CCs].[CC6000],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
104010MIH,Hotel CCs,COS Miscellaneous Income - Hotel,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,d697b766-10b1-4cfc-9e31-78e998fcb53c,2415968259492763,104010MIH,[Hotel CCs].[104010MIH],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
104100MIH,Hotel CCs,COS 4100-Miscellaneous Income - Hotel,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,78c68dec-5c88-4efa-8b0d-b5d3ff49d8bf,533339643530319,104100MIH,[Hotel CCs].[104100MIH],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
205610MFH,Hotel CCs,S&A 5610-Management Fees - Hotel,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,ac3b2b6f-1e5b-4d79-8bc1-5e6fc834798d,4062607025391230,205610MFH,[Hotel CCs].[205610MFH],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
F&B CCs,CostCenter,,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,7a9c7936-89ae-4796-aef9-df203260b07d,1451845970839410,F&B CCs,<none>,true,+,never share,<none>,0,,true,+,never share,<none>,0,,
CC2000,F&B CCs,2000-Summary - F & B Departments,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,dbab9c50-adae-4f4b-99ea-975fbf089dc0,219162992003029,CC2000,[F&B CCs].[CC2000],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
CC3200,F&B CCs,3200-Other Operated Departments - F & B,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,99a552eb-2916-4422-81c0-e7886f64da63,3957638572559539,CC3200,[F&B CCs].[CC3200],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
CC4020,F&B CCs,,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,4f7adc0f-a1b7-480d-aac1-9dc8971ec63e,2317438024500573,CC4020,[F&B CCs].[CC4020],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
CC4200,F&B CCs,4200-Miscellaneous Income - F &B,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,8d3ee2f8-a84c-4170-9a86-c664c6e04790,165793674642231,CC4200,[F&B CCs].[CC4200],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
CC5120,F&B CCs,5120-A & G - F & B,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,f41c3175-2fe0-4f8a-906e-9d2d0811f88f,4292757589674323,CC5120,[F&B CCs].[CC5120],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
CC5220,F&B CCs,5220-IT - F & B,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,2c16ae7c-97b0-4191-b768-f0591373b637,2305961600434181,CC5220,[F&B CCs].[CC5220],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
CC5320,F&B CCs,5320-S & M - F & B,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,67cda15d-fa0a-4ec2-bdf3-fcf5fa42e6b6,794558898849477,CC5320,[F&B CCs].[CC5320],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
CC5420,F&B CCs,5420-PO & M - F & B,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,6b76c05d-ff72-427c-9bd9-4fd4fb92341a,4204744509115544,CC5420,[F&B CCs].[CC5420],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
CC5520,F&B CCs,5520-Utilities - F & B,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,99afa483-149c-42ec-b7ed-9c54f67cf8bf,3575504712124922,CC5520,[F&B CCs].[CC5520],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
CC5620,F&B CCs,5620-Management Fees - F & B,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,877ff302-791f-441a-ad8c-42e005bb6ac0,2696795944403601,CC5620,[F&B CCs].[CC5620],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
104020MIF,F&B CCs,COS Miscellaneous Income - F &B,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,3db5da5c-86be-4ead-9760-a973dd93a802,4257587371983000,104020MIF,[F&B CCs].[104020MIF],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
104200MIF,F&B CCs,COS 4200-Miscellaneous Income - F &B,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,54fd348f-1e95-45e6-8c3d-926b0c7ade7d,3971375301676662,104200MIF,[F&B CCs].[104200MIF],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
205620MFF,F&B CCs,S&A 5620-Management Fees - F & B,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,c66bbe0e-bdc9-4b67-80c5-a5eef864baaf,882817310868293,205620MFF,[F&B CCs].[205620MFF],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
